PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,Z68_MATERIAL_TYPE,notes
AC,79294,ACE,S,SV ,true,AC,20100101,20991231,20111101,CW,P,,S ,"Trumble, Paul M.",20110531,20110531,1,,20110531,Gnomon.,,,S ,library note: P+O; print cw order; invoicing see online PO 44080359 fund name: S-CLASS-2022
AC,39814,ACE,S,SV ,true,AC,20890101,20991231,20091101,CW,P,RB80501000169-004006,S ,,20090130,20090130,1,,20090130,Philologus.,,,S ,library note: P+O; print cw order ; invoicing see online PO 44110911 fund name: S-CLASS-2022
AC,44043090,ACE,S,SV ,true,AC,19990210,20991231,20070101,P ,P,RB805010001059714014,S ,,19980206,19980206,1,77.00     ,20060223,L'Année épigraphique.,,0066-2348,S ,library note: print fund name: S-CLASS-2022 vendor note: //Begin ed.1995 (published in 1998)- and renew
AC,44126918,ACBELL,O,SV ,true,AC,19980717,20991231,20070101,C ,P,,M ,,19980717,19980717,1,40.00     ,20050104,Cahiers de l'Association internationale des études françaises.,Association internationale des études françaises.,,M ,library note: Librarian vendor note: //Begin no.50- and renew
AC,44500373,ACH,O,SV ,true,AC,0,20991231,0,C ,P,,M ,,20010323,20150217,1,290.      ,20150217,Gesammelte Werke / Georg Wilhelm Friedrich Hegel.,"Hegel, Georg Wilhelm Friedrich, 1770-1831.",,M ,library note: Philosophy dept. fund name: F-SO-2022
AC,44064172,ACE,S,SV ,true,AC,19950918,20991231,20070101,P ,P,RB805010001464167337,S ,,19980316,19980316,1,81.50     ,20051213,Jing ji yan jiu.,,0577-9154,S ,library note: print fund name: S-ASIAN-2022 vendor note: //Begin 1999- and renew
AC,44114904,ACE,S,SV ,true,AC,19950928,20991231,20070101,P ,P,RB805010001761322007,S ,,19980629,19980629,1,33.12     ,20060530,Religious humanism.,,0034-4095,S ,library note: print fund name: S-RELIG-2022 vendor note: //Begin v.32 (1998)- and renew
AC,44109234,ACE,S,SV ,true,AC,19950614,20991231,20070101,P ,P,RB805010001660394008,S ,,19980617,19980617,1,31.05     ,20051213,Opera news.,,0030-3607,S ,library note: print fund name: S-MUSIC-2022 vendor note: //Begin Nov. 1999- and renew
AC,44116305,ACE,S,SV ,true,AC,19950725,20991231,20070101,P ,P,RB805010001787160001,S ,,19980630,19980630,1,89.91     ,20051222,Romania.,,0035-8029,S ,library note: print fund name: S-FREN-2022 vendor note: //Begin v.116 (1998)- ands renew
AC,44123838,ACE,S,SV ,true,AC,19951113,20991231,20070101,P ,P,RB805010001866121007,S ,,19980709,19980709,1,129.00    ,20050922,Supplementum epigraphicum graecum.,,0920-8399,S ,library note: print fund name: S-CLASS-2022 vendor note: //Begin v.45 (1999)- and renew
AC,44101624,ACE,S,SV ,true,AC,19950711,20991231,20070101,P ,P,RB805010001552911000,S ,,19980528,19980528,1,67.28     ,20051213,Master drawings.,,0025-5025,S ,library note: print fund name: S-ART-2022 vendor note: //Begin v.37 (1999)- and renew
AC,44058998,ACE,S,SV ,true,AC,19950425,20991231,20070101,P ,P,RB805010001569797996,S ,,19980306,19980306,1,31.05     ,20051213,The bulletin of the Metropolitan Museum of Art.,,0026-1521,S ,library note: print subs fund name: S-ART-2022 vendor note: //Begin v.57 (1999/2000)- and renew
AC,44126876,ACE,S,SV ,true,AC,19950614,20991231,20070101,P ,P,RB805010001966640010,S ,,19980717,19980717,1,100       ,20051213,The world of music.,,0043-8774,S ,library note: print fund name: S-MUSIC-2022 vendor note: //Begin v.41 (1999)- and renew
AC,44059905,ACE,S,SV ,true,AC,19930101,20991230,20071101,P ,P,RB805010001144386937,S ,,20061214,20061214,1,155.00    ,20061214,Bulletin of the Institute of Classical Studies of the University of London.,,0076-0730,S ,library note: print+ online ; keep print per 2012 review (Wiley package) fund name: S-CLASS-2022
AC,44119641,ACE,S,SV ,true,AC,19950712,20991231,20070101,P ,P,RB805010001808582001,S ,,19980706,19980706,1,310.00    ,20051213,Scriptorium.,,0036-9772,S ,library note: print fund name: S-HIST-2022 vendor note: //Begin v.52 (1998)- and renew
AC,44103049,ACE,S,SV ,true,AC,19950310,20991231,20070101,P ,P,RB805010001578941007,S ,,19980602,19980602,1,55        ,20051213,Ming bao yue kan.,,0580-6291,S ,library note: print fund name: S-ASIAN-2022 vendor note: //Begin v.34 (1999)- and renew
AC,44120771,ACJPT,S,SV ,true,AC,19950621,20991231,20070101,P ,P,,S ,,19980706,19980706,1,210       ,20051004,Shigaku zasshi.,,0018-2478,S ,library note: print fund name: S-ASIAN-2022 vendor note: //Begin v.108 (1999)- and renew
AC,44107699,ACJPT,S,SV ,true,AC,19951009,20991231,20070101,P ,P,,S ,,19980611,19980611,1,130.00    ,20051004,Nihon rekishi = The Nippon-rekishi.,,0386-9164,S ,library note: print fund name: S-ASIAN-2022 vendor note: //Begin no.608 (1999)- and renew
AC,98672,ACE,S,SV ,true,AC,20130101,20991231,20131030,P ,P,RB805010001903892503,S ,"Sinos, Rebecca H. (Becky)",20121012,20121012,1,1048.00   ,20121012,Transactions of the Philological Society.,Philological Society (Great Britain).,0079-1636,S ,library note: Print fund name: S-CLASS-2022 vendor note: Begin Jan. 2013-
AC,44114862,ACJPT,S,SV ,true,AC,19950928,20991231,20070101,P ,P,,S ,,19980629,19980629,1,135       ,20051004,Rekishi hyōron.,,0386-8907,S ,library note: print fund name: S-ASIAN-2022 vendor note: //Begin no.585 (1999)- and renew
AC,44115337,ACE,S,SV ,true,AC,19950921,20991231,20070101,P ,P,RB805010001779082007,S ,,19980629,19980629,1,101.43    ,20051213,Revue de littérature comparée.,,0035-1466,S ,library note: print fund name: S-FREN-2022 vendor note: //Begin v.73 (1999)- and renew.
AC,44115362,ACE,S,SV ,true,AC,19950921,20991231,20070101,P ,P,RB805010001780042024,S ,,19980629,19980629,1,123.08    ,20051028,"Revue de philologie, de littérature et d'histoire anciennes.",,0035-1652,S ,library note: print fund name: S-CLASS-2022 vendor note: //Begin v.71 (1997)- and renew.
AC,44116093,ACH-S,S,SV ,true,AC,19951115,20991231,20070101,P ,P,REV0056,S ,,19980630,19980630,1,115.37    ,20060404,Revue des études grecques.,,,S ,library note: print/must order direct fund name: S-CLASS-2022 vendor note: //Begin v.111 (1998)- and renew.
AC,44120540,ACE,S,SV ,true,AC,19950319,20991231,20070101,P ,P,RB805010001815692009,S ,,19980706,19980706,1,51.75     ,20060426,Shakespeare studies.,,0582-9399,S ,library note: print fund name: S-ENG-2022 vendor note: //Begin v.26 (1998?)- and renew
