RECORD NO.(Order)	Paid Date	Amount Paid	Foreign Currency Paid	Invoice Number	Invoice Date	Voucher Number	Sub From	Sub To	Copies	Note
o1000361	2/02/2021	472.7	eur273.84	7196802	13/11/2020	141091	1/01/2021	31/12/2021	1	2021
o1000361	28/02/2020	465.04	eur266.15	7184835	30/10/2019	139355	2/01/2020	1/01/2021	1	2020
o1000361	17/01/2019	446.1	eur260.88	7172977	24/10/2018	136851	1/01/2019	31/12/2019	1	2019
o1000361	4/12/2017	424.99	eur260.41	7160378	1/11/2017	134230	1/01/2018	31/12/2018	1	2018
o1000361	20/12/2016	391.53	eur255.4	7146374	30/11/2016	131756	1/01/2017	31/12/2017	1	2017
o1000361	7/12/2015	411.7	eur245.06	7134801	2/12/2015	128898	1/01/2016	31/12/2016	1	2016
o1000361	25/11/2014	422.15	eur257.41	7119639	21/11/2014	125715	1/01/2015	31/12/2015	1	2015
o1000361	28/11/2013	404.36	eur242.13	7102958	15/11/2013	122196	1/01/2014	31/12/2014	1	2014
o1000361	20/12/2012	397.3	eur232.34	7093553	21/11/2012	118913	1/01/2013	31/12/2013	1	2013
o1000361	21/12/2011	383.31	eur219.41	7083977	9/12/2011	115034	1/01/2012	31/12/2012	1	2012
o1000361	16/12/2010	415.99	usd295.36	7076351	1/12/2010	110621			1	2011
o1000361	11/11/2009	318.8	usd184.91	0317546	25/10/2009	106166	1/01/2010	31/12/2010	1	2010                 !18256247
o1000361	27/11/2008	202.59	usd147.89	0227554	9/11/2008	101247	1/01/2009	31/12/2009	1	2009
o1000361	10/12/2007	248.4	usd190.43	0122289	11/11/2007	95893			1	2008
o1000361	10/10/2006	243.25	usd155.68	5003381	24/09/2006	89295			1	2007                 !182
o1000361	17/10/2005	220.58	usd151.75	6015851	21/09/2005	82637			1	2006                 !182
o1000361	2/11/2004	199.41	usd135.2	5073679	13/10/2004	75671			1	2005 V 38            !182
o1000361	19/11/2003	195.49	usd121.5	4073609	10/11/2003	69579			1	2004 V 37            !182
o1000361	12/12/2002	221.03	usd109.64	3095667	5/12/2002	63682			1	2003 V 36            !182
o1000361	25/10/2001	284.39	aud230.84	205448	24/09/2001	56457			1	v.35 2002
o1000361	8/11/2000	283.19	aud214	179397	21/09/2000	50350			1	v.34 2001
o1000361	5/11/1999	241.24	aud190	160814	26/09/1999	42970			1	v.33 2000
o1000361	7/12/1998	245.82	aud204	146592	21/09/1998	36814			1	v.32 1999
o1000361	13/03/1998	21.11	aud18	22522	16/02/1998	30800			1	addit. charge 1998
o1000361	20/11/1997	173.16	aud152	134839	7/11/1997	27773			1	v.31 1998
o1000361	24/02/1997	6.7	aud6	19703	7/02/1997	21023			1	Add inv.117209
o1000361	1/10/1996	145.01	aud127	117209	16/09/1996	17112			1	v.30 1997
o1000361	22/11/1995	157.3	aud135	103675	7/10/1995	10965			1	v.29 1996
o1000361	27/06/1995	123.48	aud113.5	15795	19/06/1995	8042			1	Add 1995
o1000361	19/10/1994	27.78	aud22.5	85291	12/09/1994	2971			1	1995
o1000361	21/03/1994	131.3	cad98	1496	21/01/1994	92			1	v.27(1994)
o1000409	22/01/2020	25.22		402176	19/12/2019	139080	1/01/2020	31/12/2020	1	2020\
o1000409	6/05/2019	21.74		NZM/NZR2019	19/12/2018	137662	1/01/2019	31/12/2019	1	2019\
o1000409	2/02/2018	17.39		NZM/NZR2018	30/01/2018	134716	1/01/2018	31/12/2018	1	2018\
o1000409	25/01/2017	15.48		NZM/NZR2017	24/01/2017	131954	1/01/2017	31/12/2017	1	2017\
o1000409	3/09/2015	30.17		483923	25/08/2015	128167	1/11/2015	31/10/2016	1	Nov15-Oct16\
o1000409	9/04/2014	60.35		NZM-483923-14	7/04/2014	123393	1/11/2013	31/10/2015	1	Nov13-Oct15 (2 years)\
o1000409	7/04/2014	-30.17		NZM025	18/04/2013	123365			1	"reversed, payment not received\"
o1000409	29/04/2013	30.17		NZM025	18/04/2013	120105			1	2013/14\
o1000409	29/05/2012	30.17		NZM015	23/05/2012	116814			1	Sep12-Aug13\
o1000409	6/05/2011	38.74		HP06.05.11-4	2/05/2011	112202			1	2011\
o1000409	19/07/2010	35.56		HP19.07.10	19/07/2010	109026			1	9/10-8/11\
o1000409	19/11/2008	69.33		21498	11/11/2008	101116			1	12/08-11/09\
o1000409	12/02/2007	69.33		 	12/01/2007	91184			1	2007\
o1000409	16/08/2005	67.96		 	9/08/2005	81291			1	10/8/05-8/8/06\
o1000409	27/07/2004	67.96		 	14/07/2004	73823			1	9/04-8/05\
o1000409	10/06/2003	67.96		 	10/01/2003	66524			1	9/03-8/04\
