RECORD NO.(Order)	Column1	Paid Date	Amount Paid	Foreign Currency Paid	Invoice Number	Invoice Date	Sub From	Sub To	Copies	Note
o10003617	30	2021-02-02	472.7	eur273.84	7196802	2020-11-13	2021-01-01	2021-12-31	1	2021
o10003617	29	2020-02-28	465.04	eur266.15	7184835	2019-10-30	2020-01-02	2021-01-01	1	2020
o10003617	28	2019-01-17	446.1	eur260.88	7172977	2018-10-24	2019-01-01	2019-12-31	1	2019
o10003617	27	2017-12-04	424.99	eur260.41	7160378	2017-11-01	2018-01-01	2018-12-31	1	2018
o10003617	26	2016-12-20	391.53	eur255.40	7146374	2016-11-30	2017-01-01	2017-12-31	1	2017
o10003617	25	2015-12-07	411.7	eur245.06	7134801	2015-12-02	2016-01-01	2016-12-31	1	2016
o10003617	24	2014-11-25	422.15	eur257.41	7119639	2014-11-21	2015-01-01	2015-12-31	1	2015
o10003617	23	2013-11-28	404.36	eur242.13	7102958	2013-11-15	2014-01-01	2014-12-31	1	2014
o10003617	22	2012-12-20	397.3	eur232.34	7093553	2012-11-21	2013-01-01	2013-12-31	1	2013
o10003617	21	2011-12-21	383.31	eur219.41	7083977	2011-12-09	2012-01-01	2012-12-31	1	2012
o10003617	20	2010-12-16	415.99	usd295.36	7076351	2010-12-01	\N	\N	1	2011
o10003617	19	2009-11-11	318.8	usd184.91	0317546	2009-10-25	2010-01-01	2010-12-31	1	2010                 !18256247
o10003617	18	2008-11-27	202.59	usd147.89	0227554	2008-11-09	2009-01-01	2009-12-31	1	2009
o10003617	17	2007-12-10	248.4	usd190.43	0122289	2007-11-11	\N	\N	1	2008
o10003617	16	2006-10-10	243.25	usd155.68	5003381	2006-09-24	\N	\N	1	2007                 !182
o10003617	15	2005-10-17	220.58	usd151.75	6015851	2005-09-21	\N	\N	1	2006                 !182
o10003617	14	2004-11-02	199.41	usd135.20	5073679	2004-10-13	\N	\N	1	2005 V 38            !182
o10003617	13	2003-11-19	195.49	usd121.50	4073609	2003-11-10	\N	\N	1	2004 V 37            !182
o10003617	12	2002-12-12	221.03	usd109.64	3095667	2002-12-05	\N	\N	1	2003 V 36            !182
o10003617	11	2001-10-25	284.39	aud230.84	205448	2001-09-24	\N	\N	1	v.35 2002
o10003617	10	2000-11-08	283.19	aud214.00	179397	2000-09-21	\N	\N	1	v.34 2001
o10003617	9	1999-11-05	241.24	aud190.00	160814	1999-09-26	\N	\N	1	v.33 2000
o10003617	8	1998-12-07	245.82	aud204.00	146592	1998-09-21	\N	\N	1	v.32 1999
o10003617	7	1998-03-13	21.11	aud18.00	22522	1998-02-16	\N	\N	1	addit. charge 1998
o10003617	6	1997-11-20	173.16	aud152.00	134839	1997-11-07	\N	\N	1	v.31 1998
o10003617	5	1997-02-24	6.7	aud6.00	19703	1997-02-07	\N	\N	1	Add inv.117209
o10003617	4	1996-10-01	145.01	aud127.00	117209	1996-09-16	\N	\N	1	v.30 1997
o10003617	3	1995-11-22	157.3	aud135.00	103675	1995-10-07	\N	\N	1	v.29 1996
o10003617	2	1995-06-27	123.48	aud113.50	15795	1995-06-19	\N	\N	1	Add 1995
o10003617	1	1994-10-19	27.78	aud22.50	85291	1994-09-12	\N	\N	1	1995
o10003617	0	1994-03-21	131.3	cad98.00	1496	1994-01-21	\N	\N	1	v.27(1994)
o10004099	28	2020-01-22	25.22		402176	2019-12-19	2020-01-01	2020-12-31	1	2020\
o10004099	27	2019-05-06	21.74		NZM/NZR2019	2018-12-19	2019-01-01	2019-12-31	1	2019\
o10004099	26	2018-02-02	17.39		NZM/NZR2018	2018-01-30	2018-01-01	2018-12-31	1	2018\
o10004099	25	2017-01-25	15.48		NZM/NZR2017	2017-01-24	2017-01-01	2017-12-31	1	2017\
o10004099	24	2015-09-03	30.17		483923	2015-08-25	2015-11-01	2016-10-31	1	Nov15-Oct16\
o10004099	23	2014-04-09	60.35		NZM-483923-14	2014-04-07	2013-11-01	2015-10-31	1	Nov13-Oct15 (2 years)\
o10004099	22	2014-04-07	-30.17		NZM025	2013-04-18	\N	\N	1	"reversed, payment not received\"
o10004099	21	2013-04-29	30.17		NZM025	2013-04-18	\N	\N	1	2013/14\
o10004099	20	2012-05-29	30.17		NZM015	2012-05-23	\N	\N	1	Sep12-Aug13\
o10004099	19	2011-05-06	38.74		HP06.05.11-4	2011-05-02	\N	\N	1	2011\
o10004099	18	2010-07-19	35.56		HP19.07.10	2010-07-19	\N	\N	1	9/10-8/11\
o10004099	17	2008-11-19	69.33		21498	2008-11-11	\N	\N	1	12/08-11/09\
o10004099	16	2007-02-12	69.33		 	2007-01-12	\N	\N	1	2007\
o10004099	15	2005-08-16	67.96		 	2005-08-09	\N	\N	1	10/8/05-8/8/06\
o10004099	14	2004-07-27	67.96		 	2004-07-14	\N	\N	1	9/04-8/05\
o10004099	13	2003-06-10	67.96		 	2003-01-10	\N	\N	1	9/03-8/04\
o10004099	12	2002-07-10	57.78		  36562	2002-01-10	\N	\N	1	9/02-8/03\
o10004099	11	2001-06-26	46.54		 	2001-01-26	\N	\N	1	9/01-8/02\
o10004099	10	2000-06-14	67.56		  	2000-06-01	\N	\N	1	9/00-8/01\
o10004099	9	1999-04-20	76		  	1999-04-06	\N	\N	1	7/99-6/2000\
o10004099	8	1998-04-24	84.45		  	1998-01-24	\N	\N	1	7/98-6/99\
o10004099	7	1997-04-09	69.78		  	1997-01-09	\N	\N	1	7/97-6/98\
o10004099	6	1996-05-07	69.78		 	1996-04-23	\N	\N	1	6/96-5/97\
o10004099	5	1996-04-24	69.78		 	1996-03-26	\N	\N	1	6/96-5/97\
o10004099	4	1995-04-11	69.78		 	1995-03-28	\N	\N	1	6/95-5/96\
o10004099	3	1995-04-11	69.78		 	1995-03-28	\N	\N	1	6/95-5/96\
o10004099	2	1995-04-11	69.78		 	1995-03-28	\N	\N	1	6/95-5/96\
o10004099	1	1994-03-23	69.78		 	1994-03-07	\N	\N	1	6/94-5/95\
o10004099	0	1994-03-23	139.56		 	1994-03-07	\N	\N	2	6/94-5/95\
o1000418x	37	2021-02-02	339.44	gbp173.76	7197275	2020-11-13	2021-01-01	2021-12-31	1	2021
o1000418x	36	2020-02-28	363.16	gbp174.43	7184838	2019-11-13	2020-01-02	2021-01-01	1	2020
o1000418x	35	2019-01-17	332.47	gbp174.07	7172982	2018-10-24	2019-01-01	2019-12-31	1	2019
o1000418x	34	2018-11-19	68.4	gbp36.00	1900640	2018-11-13	2018-01-01	2018-12-31	1	"Jan, Feb & Mar18 backcopies"
o1000418x	33	2017-12-04	312.45	gbp173.68	7160391	2017-10-20	2018-01-01	2018-12-31	1	2018
o1000418x	32	2016-12-20	311.23	gbp173.58	7146378	2016-11-30	2017-01-01	2017-12-31	1	2017
o1000418x	31	2015-11-27	393.62	gbp167.07	7134804	2015-11-13	2016-01-01	2016-12-31	1	2016
o1000418x	30	2014-11-25	344.81	gbp164.98	7119534	2014-11-21	2015-01-01	2015-12-31	1	2015
o1000418x	29	2013-12-02	329.08	gbp164.54	7103012	2013-11-15	2014-01-01	2014-12-31	1	2014
o1000418x	28	2011-12-20	330.1	gbp162.85	7084332	2011-12-09	2012-04-01	2013-03-31	1	Apr12-Mar13
o1000418x	27	2010-12-16	347.66	gbp162.46	7076371	2010-12-01	2011-04-01	2012-03-31	1	(04/11)-(03/12)!D2605953
o1000418x	26	2009-11-11	344.18	gbp149.10	0317739	2009-10-25	2010-04-01	2011-03-31	1	Apr 2010 - Mar 2011  !38759104
o1000418x	25	2008-11-25	419.76	gbp149.10	0227768	2008-11-09	2009-04-01	2010-03-31	1	Apr 2009 - Mar
o1000418x	24	2007-12-10	348.18	gbp131.44	0122469	2007-11-11	\N	\N	1	Apr 2008 - Mar
o1000418x	23	2007-04-19	358.24	gbp131.44	0067658	2007-04-08	\N	\N	1	4/07-3/08
o1000418x	22	2007-04-19	-131.44		6200067658	2007-04-08	\N	\N	1	wrong cur.\
o1000418x	21	2007-04-18	131.44		0067658	2007-04-08	\N	\N	1	Apr 2007 - Mar 2008  !38\
o1000418x	20	2006-10-25	-642.79	gbp-224.72	6515004161	2006-10-09	\N	\N	1	Credit inv.6015858
o1000418x	19	2005-10-17	579.01	gbp224.72	6015858	2005-09-21	\N	\N	1	Sep 19 2006          !908
o1000418x	18	2005-09-14	-59.24	gbp-22.47	S5.900-685	2005-09-07	\N	\N	1	Overcharged inv.5073687
o1000418x	17	2004-11-02	671.34	gbp247.19	5073687	2004-10-13	\N	\N	1	Sep 19 2005          !908
o1000418x	16	2004-08-19	636.95	gbp224.72	4856670	2004-08-11	\N	\N	1	19 Sep 2004 - 18 Sep !908
o1000418x	15	2003-09-24	628.59	gbp224.72	3840285	2003-09-17	\N	\N	1	19 Sep 2003 - 18 Sep !908
